text,ThreatType
"i'm going to find you and kill you",Violent Threat
"you're going to die for this",Violent Threat
"i will end your life",Violent Threat
"if i see you, you are dead",Violent Threat
"i will murder your entire family",Violent Threat
"i hope you get shot",Violent Threat
"someone should put a bullet in your head",Violent Threat
"i will hunt you down",Violent Threat
"prepare to meet your maker",Violent Threat
"i will slit your throat",Violent Threat
"you are a dead man walking",Violent Threat
"i'm coming to your house to kill you",Violent Threat
"don't be surprised if you get jumped",Violent Threat
"i will beat you to death",Violent Threat
"you better watch your back, i'm coming for you",Violent Threat
"this is a promise, i will kill you",Violent Threat
"i'm planning to end you",Violent Threat
"i will make you suffer before you die",Violent Threat
"i'm going to stab you",Violent Threat
"i will make sure you never breathe again",Violent Threat
"this is not a threat, it's a promise to kill you",Violent Threat
"i will destroy you",Violent Threat
"you are going to pay with your life",Violent Threat
"i'm going to make you disappear",Violent Threat
"i will break every bone in your body",Violent Threat
"i'm going to enjoy watching you die",Violent Threat
"i'm going to find where you live and burn it down",Violent Threat
"you won't live to see tomorrow",Violent Threat
"i will torture you",Violent Threat
"i'll see you in hell after i send you there",Violent Threat
"i'm going to kill your pets",Violent Threat
"i will make you regret being born",Violent Threat
"i will erase you from this earth",Violent Threat
"i will choke the life out of you",Violent Threat
"i'm going to run you over with my car",Violent Threat
"i will poison you",Violent Threat
"i will make your death slow and painful",Violent Threat
"i'm going to hang you",Violent Threat
"i will drown you",Violent Threat
"i will come to your work and shoot you",Violent Threat
"i will make you pay with blood",Violent Threat
"i'm going to bury you alive",Violent Threat
"i will make you wish you were never born",Violent Threat
"i'm going to cut you up",Violent Threat
"i will beat you senseless",Violent Threat
"i will leave you in a ditch to die",Violent Threat
"i'm going to make an example of you",Violent Threat
"i will not rest until you are dead",Violent Threat
"i'm going to make your family watch you die",Violent Threat
"i will make you famous, posthumously",Violent Threat 
